"","VALUE","COUNT","EVT_NAME","LFRDB","EVT_FUEL","EVT_FUEL_N","EVT_LF","EVT_PHYS","EVT_GP","EVT_GP_N","SAF_SRM","EVT_ORDER","EVT_CLASS","EVT_SBCLS","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"45",9529,167423,"Western Great Plains Riparian Herbaceous",9028,2162,"Tr Western Great Plains Floodplain Systems","Herb","Riparian",669,"Western Herbaceous Wetland","LF 42: Great Plains Riparian","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",6,53,122,0.023529,0.207843,0.478431,37234,0.094
"46",7438,166550,"Tamaulipan Savanna Grassland",7438,2438,"He Tamaulipan Savanna Grassland","Herb","Grassland",617,"Grassland","SRM 728: Mesquite-Ganjeno-Acacia","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",82,52,34,0.321569,0.203922,0.133333,37040,0.093
"47",9321,142042,"Southeastern Native Ruderal Forest",9321,2573,"Tr Southeastern Native Ruderal Forest","Tree","Conifer-Hardwood",707,"Introduced Upland Vegetation-Treed","LF 51: Introduced Upland Vegetation - Tree","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",255,105,46,1,0.411765,0.180392,31589,0.08
"48",9092,136919,"Edwards Plateau Floodplain Terrace Forest and Woodland",9092,2529,"Tr Edwards Plateau Floodplain Terrace","Tree","Riparian",666,"Eastern Floodplain Forests","LF 42: Great Plains Riparian","Tree-dominated","Open tree canopy","Deciduous open tree canopy",6,53,122,0.023529,0.207843,0.478431,30450,0.077
"49",7025,124945,"Madrean Pinyon-Juniper Woodland",7025,2025,"Tr Madrean Pinyon-Juniper Woodland","Tree","Conifer",630,"Pinyon-Juniper Woodland","SRM 504: Juniper-Pinyon Pine Woodland","Tree-dominated","Open tree canopy","Evergreen open tree canopy",121,255,94,0.47451,1,0.368627,27787,0.07
"50",9731,123819,"Southeastern Great Plains Riparian Shrubland",9231,2471,"Tr Central Interior and Appalachian Floodplain Systems","Shrub","Riparian",666,"Eastern Floodplain Forests","SAF 61: River Birch-Sycamore","Shrub-dominated","Shrubland","Deciduous shrubland",0,92,0,0,0.360784,0,27537,0.069
"51",7524,114871,"Edwards Plateau Mesic Canyon",7524,2524,"Tr Edwards Plateau Mesic Canyon","Tree","Hardwood",605,"Bigtooth Maple Woodland","SRM 733: Juniper-Oak","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",34,109,153,0.133333,0.427451,0.6,25547,0.064
"52",7391,111994,"Tamaulipan Mesquite Upland Woodland",7391,2391,"Tr Tamaulipan Mesquite Upland Scrub","Tree","Hardwood",624,"Mesquite Woodland and Scrub","SRM 728: Mesquite-Ganjeno-Acacia","Tree-dominated","Open tree canopy","Deciduous open tree canopy",82,52,34,0.321569,0.203922,0.133333,24907,0.063
"53",7561,110082,"Llano Uplift Acidic Herbaceous Glade",7410,2410,"Tr Llano Uplift Acidic Forest Woodland and Glade","Herb","Grassland",670,"Glades and Barrens","SRM 733: Juniper-Oak","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",34,109,153,0.133333,0.427451,0.6,24482,0.062
"54",9592,106873,"Edwards Plateau Floodplain Terrace Shrubland",9092,2529,"Tr Edwards Plateau Floodplain Terrace","Shrub","Riparian",666,"Eastern Floodplain Forests","LF 42: Great Plains Riparian","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",6,53,122,0.023529,0.207843,0.478431,23768,0.06
